id,briefId,methodId,phase,parent,status,promptCharacters,characters,bytes,errors,warnings
"t001","stagehand","minimal","first-pass","","passed","1980","5020","5020","",""
"t002","stagehand","current","first-pass","","passed","6539","4449","4449","",""
"t003","stagehand","art-direction","first-pass","","passed","2313","3614","3614","",""
"t004","stagehand","layout-plan","first-pass","","passed","2286","4783","4783","",""
"t005","stagehand","reference","first-pass","","passed","6005","5524","5524","",""
"t006","mushroom-chef","minimal","first-pass","","passed","2015","4293","4293","",""
"t007","mushroom-chef","current","first-pass","","passed","6574","3846","3846","",""
"t008","mushroom-chef","art-direction","first-pass","","passed","2348","3134","3134","",""
"t009","mushroom-chef","layout-plan","first-pass","","passed","2321","3977","3977","",""
"t010","mushroom-chef","reference","first-pass","","passed","6040","4403","4403","",""
"t011","clock","minimal","first-pass","","passed","1447","3249","3249","","Geometry approaches the canvas edge; inspect stroke clipping and safe margin"
"t012","clock","current","first-pass","","passed","2339","1978","1978","",""
"t013","clock","art-direction","first-pass","","passed","1780","1946","1946","",""
"t014","clock","layout-plan","first-pass","","passed","1753","2778","2778","",""
"t015","clock","reference","first-pass","","passed","3160","2546","2546","","Geometry approaches the canvas edge; inspect stroke clipping and safe margin"
"t016","teapot","minimal","first-pass","","passed","1450","3549","3549","",""
"t017","teapot","current","first-pass","","passed","2342","1942","1942","",""
"t018","teapot","art-direction","first-pass","","passed","1783","2200","2200","",""
"t019","teapot","layout-plan","first-pass","","passed","1756","3192","3192","",""
"t020","teapot","reference","first-pass","","passed","3163","2731","2731","",""
"t021","laundromat","minimal","first-pass","","passed","1549","5925","5925","",""
"t022","laundromat","current","first-pass","","passed","2080","4285","4285","",""
"t023","laundromat","art-direction","first-pass","","passed","1882","3693","3693","",""
"t024","laundromat","layout-plan","first-pass","","passed","1855","6232","6232","",""
"t025","laundromat","reference","first-pass","","passed","4781","4117","4117","",""
"t026","moon-office","minimal","first-pass","","passed","1585","6098","6098","",""
"t027","moon-office","current","first-pass","","passed","2116","4326","4326","",""
"t028","moon-office","art-direction","first-pass","","passed","1918","3871","3871","",""
"t029","moon-office","layout-plan","first-pass","","passed","1891","4675","4675","",""
"t030","moon-office","reference","first-pass","","passed","4817","4332","4332","",""
"t031","stagehand","agent-current","fresh-repeat","","passed","7983","5135","5135","",""
"t032","mushroom-chef","agent-current","fresh-repeat","","passed","8018","4489","4489","",""
"t033","clock","agent-current","fresh-repeat","","passed","4594","2325","2325","",""
"t034","teapot","agent-current","fresh-repeat","","passed","4597","2884","2884","",""
"t035","laundromat","agent-current","fresh-repeat","","passed","4696","6217","6217","",""
"t036","moon-office","agent-current","fresh-repeat","","passed","4732","5582","5582","",""
"t037","stagehand","visual-revision","revision","t043","passed","2143","5095","5095","",""
"t038","mushroom-chef","visual-revision","revision","t044","passed","2178","4061","4061","",""
"t039","clock","visual-revision","revision","t045","passed","1610","2807","2807","",""
"t040","teapot","visual-revision","revision","t046","passed","1613","3832","3832","",""
"t041","laundromat","visual-revision","revision","t047","passed","1712","5421","5421","",""
"t042","moon-office","visual-revision","revision","t048","passed","1748","6147","6147","",""
"t043","stagehand","agent-current","first-pass","","passed","7983","5016","5016","",""
"t044","mushroom-chef","agent-current","first-pass","","passed","8018","4088","4088","","Geometry approaches the canvas edge; inspect stroke clipping and safe margin"
"t045","clock","agent-current","first-pass","","passed","4594","2687","2687","",""
"t046","teapot","agent-current","first-pass","","passed","4597","3781","3781","",""
"t047","laundromat","agent-current","first-pass","","passed","4696","5393","5393","",""
"t048","moon-office","agent-current","first-pass","","passed","4732","6147","6147","",""
